,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
against,2,0.510204082,call'd,3,0.755667506,once,3,0.717703349,seem,3,0.575815739,times,2,0.465116279,wear,3,0.714285714,best,3,0.710900474,macbeth's,3,0.731707317,who's,2,0.495049505,woman,3,0.642398287
noise,2,0.510204082,alone,2,0.503778338,laugh,3,0.717703349,into,3,0.575815739,rather,2,0.465116279,stands,3,0.714285714,rise,3,0.710900474,through,3,0.731707317,ten,2,0.495049505,send,3,0.642398287
robes,2,0.510204082,fleance,2,0.503778338,double,3,0.717703349,thrice,3,0.575815739,borne,2,0.465116279,hecate,3,0.714285714,country,3,0.710900474,deep,3,0.731707317,wise,2,0.495049505,part,3,0.642398287
deeds,2,0.510204082,full,2,0.503778338,since,3,0.717703349,foul,3,0.575815739,back,2,0.465116279,despair,2,0.476190476,once,3,0.710900474,began,2,0.487804878,gentle,2,0.495049505,friends,3,0.642398287
treason,2,0.510204082,bloody,2,0.503778338,hands,3,0.717703349,coming,3,0.575815739,on't,2,0.465116279,cut,2,0.476190476,lord,3,0.710900474,made,2,0.487804878,god's,2,0.495049505,hail,3,0.642398287
fatal,2,0.510204082,strong,2,0.503778338,thick,2,0.4784689,attendants,3,0.575815739,drop,2,0.465116279,comfort,2,0.476190476,burn,3,0.710900474,business,2,0.487804878,strong,2,0.495049505,hang,3,0.642398287
earth,2,0.510204082,wisdom,2,0.503778338,full,2,0.4784689,gone,3,0.575815739,behold,2,0.465116279,traitor,2,0.476190476,nights,3,0.710900474,seems,2,0.487804878,deed,2,0.495049505,coming,3,0.642398287
guilt,2,0.510204082,is't,2,0.503778338,obedience,2,0.4784689,promised,3,0.575815739,murderers,2,0.465116279,deed,2,0.476190476,fire,3,0.710900474,without,2,0.487804878,english,2,0.495049505,certain,3,0.642398287
charge,2,0.510204082,spirit,2,0.503778338,comfort,2,0.4784689,messenger,3,0.575815739,third,2,0.465116279,hope,2,0.476190476,courage,2,0.473933649,hold,2,0.487804878,thence,2,0.495049505,hands,3,0.642398287
further,2,0.510204082,palace,2,0.503778338,tyranny,2,0.4784689,leave,3,0.575815739,soon,2,0.465116279,find,2,0.476190476,banquo's,2,0.473933649,meet,2,0.487804878,sorrow,2,0.495049505,bear,3,0.642398287
strange,2,0.510204082,mind,2,0.503778338,purpose,2,0.4784689,valour,2,0.383877159,far,2,0.465116279,mere,2,0.476190476,afraid,2,0.473933649,kind,2,0.487804878,takes,2,0.495049505,he's,3,0.642398287
faces,2,0.510204082,against,2,0.503778338,o,2,0.4784689,full,2,0.383877159,duties,2,0.465116279,live,2,0.476190476,murderers,2,0.473933649,heath,2,0.487804878,mind,2,0.495049505,sword,3,0.642398287
ear,2,0.510204082,direction,2,0.503778338,open,2,0.4784689,cries,2,0.383877159,we'll,2,0.465116279,witches,2,0.476190476,person,2,0.473933649,happy,2,0.487804878,having,2,0.495049505,to-morrow,3,0.642398287
gives,2,0.510204082,better,2,0.503778338,throw,2,0.4784689,cousin,2,0.383877159,worst,2,0.465116279,noise,2,0.476190476,men,2,0.473933649,duties,2,0.487804878,off,2,0.495049505,some,2,0.428265525
withal,2,0.510204082,we'll,2,0.503778338,spend,2,0.4784689,babe,2,0.383877159,sit,2,0.465116279,ways,2,0.476190476,sure,2,0.473933649,hide,2,0.487804878,live,2,0.495049505,lived,2,0.428265525
enough,2,0.510204082,worst,2,0.503778338,needs,2,0.4784689,o,2,0.383877159,state,2,0.465116279,seen,2,0.476190476,holy,2,0.473933649,i',2,0.487804878,free,2,0.495049505,body,2,0.428265525
ho,2,0.510204082,for't,2,0.503778338,men,2,0.4784689,read,2,0.383877159,whole,2,0.465116279,scotland,2,0.476190476,malice,2,0.473933649,blow,2,0.487804878,bed,2,0.495049505,hope,2,0.428265525
duncan,2,0.510204082,music,2,0.503778338,troubled,2,0.4784689,show'd,2,0.383877159,welcome,2,0.465116279,peace,2,0.476190476,find,2,0.473933649,[aside],2,0.487804878,we'll,2,0.495049505,afraid,2,0.428265525
servant,2,0.510204082,thunder,2,0.503778338,find,2,0.4784689,without,2,0.383877159,return,2,0.465116279,line,2,0.476190476,sprites,2,0.473933649,neither,2,0.487804878,seen,2,0.495049505,senses,2,0.428265525
day's,2,0.510204082,i',2,0.503778338,power,2,0.4784689,win,2,0.383877159,former,2,0.465116279,grows,2,0.476190476,live,2,0.473933649,master,2,0.487804878,foes,2,0.495049505,meet,2,0.428265525
anon,2,0.510204082,flight,2,0.503778338,live,2,0.4784689,men,2,0.383877159,honours,2,0.465116279,perform,2,0.476190476,doth,2,0.473933649,earth,2,0.487804878,strength,2,0.495049505,both,2,0.428265525
done't,2,0.510204082,peace,2,0.503778338,fury,2,0.4784689,hereafter,2,0.383877159,hear,2,0.465116279,patience,2,0.476190476,throne,2,0.473933649,clear,2,0.487804878,master,2,0.495049505,flourish,2,0.428265525
daggers,2,0.510204082,after,2,0.503778338,report,2,0.4784689,both,2,0.383877159,father,2,0.465116279,speech,2,0.476190476,pay,2,0.473933649,afeard,2,0.487804878,wine,2,0.495049505,boy,2,0.428265525
became,2,0.510204082,part,2,0.503778338,ear,2,0.4784689,flourish,2,0.383877159,receive,2,0.465116279,many,2,0.476190476,thunder,2,0.473933649,weird,2,0.487804878,eye,2,0.495049505,scotland,2,0.428265525
bid,2,0.510204082,innocent,2,0.503778338,faith,2,0.4784689,heavy,2,0.383877159,tyrant's,2,0.465116279,charm,2,0.476190476,sweet,2,0.473933649,hail,2,0.487804878,easy,2,0.495049505,first,2,0.428265525
drink,2,0.510204082,present,2,0.503778338,receive,2,0.4784689,far,2,0.383877159,kill,2,0.465116279,sound,2,0.476190476,heard,2,0.473933649,broad,2,0.487804878,tell,2,0.495049505,scorn,2,0.428265525
cold,2,0.510204082,witch,2,0.503778338,each,2,0.4784689,didst,2,0.383877159,duncan,2,0.465116279,crown,2,0.476190476,fife,2,0.473933649,shalt,2,0.487804878,friends,2,0.495049505,many,2,0.428265525
dagger,2,0.510204082,father,2,0.503778338,toward,2,0.4784689,sun,2,0.383877159,all's,2,0.465116279,'em,2,0.476190476,issue,2,0.473933649,lips,2,0.487804878,woe,2,0.495049505,report,2,0.428265525
macbeth's,2,0.510204082,fail,2,0.503778338,sound,2,0.4784689,pay,2,0.383877159,gate,2,0.465116279,hither,2,0.476190476,fled,2,0.473933649,anon,2,0.487804878,servant,2,0.495049505,heard,2,0.428265525
what's,2,0.510204082,forres,2,0.503778338,fife,2,0.4784689,thunder,2,0.383877159,safe,2,0.465116279,fit,2,0.476190476,seem,2,0.473933649,house,2,0.487804878,wherefore,2,0.495049505,bosom,2,0.428265525
ready,2,0.510204082,received,2,0.503778338,turn,2,0.4784689,return,2,0.383877159,drink,2,0.465116279,word,2,0.476190476,spite,2,0.473933649,thither,2,0.487804878,fled,2,0.495049505,title,2,0.428265525
FALSE,2,0.510204082,duncan,2,0.503778338,worth,2,0.4784689,eye,2,0.383877159,pleasure,2,0.465116279,soul,2,0.476190476,let's,2,0.473933649,'gainst,2,0.487804878,house,2,0.495049505,light,2,0.428265525
's,2,0.510204082,file,2,0.503778338,fled,2,0.4784689,former,2,0.383877159,thing,2,0.465116279,round,2,0.476190476,less,2,0.473933649,donalbain,2,0.487804878,bless,2,0.495049505,another,2,0.428265525
king's,2,0.510204082,servant,2,0.503778338,sear,2,0.4784689,brain,2,0.383877159,under,2,0.465116279,tyrant,2,0.476190476,set,2,0.473933649,image,2,0.487804878,soul,2,0.495049505,strike,2,0.428265525
wash,2,0.510204082,dearest,2,0.503778338,fast,2,0.4784689,milk,2,0.383877159,o'er,2,0.465116279,eaten,2,0.476190476,ghost,2,0.473933649,under,2,0.487804878,'gainst,2,0.495049505,breath,2,0.428265525
mean,2,0.510204082,might,2,0.503778338,violent,2,0.4784689,present,2,0.383877159,best,2,0.465116279,lord,2,0.476190476,cold,2,0.473933649,late,2,0.487804878,cause,2,0.495049505,thine,2,0.428265525
sword,2,0.510204082,lo,2,0.503778338,hanged,2,0.4784689,withal,2,0.383877159,late,2,0.465116279,above,2,0.476190476,pale,2,0.473933649,labour,2,0.487804878,let's,2,0.495049505,due,2,0.428265525
morrow,2,0.510204082,war,2,0.503778338,hang,2,0.4784689,receive,2,0.383877159,sisters,2,0.465116279,cruel,2,0.476190476,england,2,0.473933649,sisters,2,0.487804878,goes,2,0.495049505,last,2,0.428265525
duncan's,2,0.510204082,disgrace,2,0.503778338,fool,2,0.4784689,each,2,0.383877159,to-night,2,0.465116279,wilt,2,0.476190476,something,2,0.473933649,kings,2,0.487804878,light,2,0.495049505,untimely,1,0.214132762
new,2,0.510204082,under,2,0.503778338,country,2,0.4784689,woman's,2,0.383877159,fate,2,0.465116279,FALSE,2,0.476190476,man's,2,0.473933649,justice,2,0.487804878,making,2,0.495049505,blade,1,0.214132762
