,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,,,,,,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,,,,,,,
king,1,0.199600798,wise,2,0.331125828,night's,2,0.358422939,loathsome,1,0.160513644,mind,1,0.17211704,speak,2,0.321027287,speak,2,0.337837838,o'clock,1,0.168067227,circumstance,2,0.347222222,ne'er,2,0.327332242,,,,,,,
she's,1,0.199600798,touch,2,0.331125828,feel,2,0.358422939,morning's,1,0.160513644,step,1,0.17211704,iron,2,0.321027287,haste,2,0.337837838,want,1,0.168067227,gentleman,2,0.347222222,friend,2,0.327332242,,,,,,,
depart,1,0.199600798,alike,2,0.331125828,deny,2,0.358422939,seek,1,0.160513644,shuts,1,0.17211704,met,2,0.321027287,letter,1,0.168918919,stays,1,0.168067227,young,2,0.347222222,dry,2,0.327332242,,,,,,,
compare,1,0.199600798,begin,2,0.331125828,dagger,2,0.358422939,limbs,1,0.160513644,honourable,1,0.17211704,dagger,2,0.321027287,change,1,0.168918919,den,1,0.168067227,eye,2,0.347222222,way,2,0.327332242,,,,,,,
written,1,0.199600798,sirrah,2,0.331125828,even,2,0.358422939,person,1,0.160513644,person,1,0.17211704,presently,2,0.321027287,prove,1,0.168918919,vain,1,0.168067227,straight,2,0.347222222,fie,2,0.327332242,,,,,,,
thither,1,0.199600798,blows,2,0.331125828,ay,1,0.17921147,welcome,1,0.160513644,whence,1,0.17211704,disturb,1,0.160513644,prick,1,0.168918919,slow,1,0.168067227,bade,2,0.347222222,wouldst,2,0.327332242,,,,,,,
any,1,0.199600798,bow,2,0.331125828,palace,1,0.17921147,shut,1,0.160513644,yourself,1,0.17211704,o'clock,1,0.160513644,neither,1,0.168918919,limbs,1,0.168067227,mangled,2,0.347222222,young,2,0.327332242,,,,,,,
precious,1,0.199600798,crow,2,0.331125828,loathsome,1,0.17921147,unhappy,1,0.160513644,pleasure,1,0.17211704,forgive,1,0.160513644,mind,1,0.168918919,occasion,1,0.168067227,faithful,2,0.347222222,livery,1,0.163666121,,,,,,,
weep,1,0.199600798,prince,2,0.331125828,strong,1,0.17921147,hours,1,0.160513644,behold,1,0.17211704,fond,1,0.160513644,i',1,0.168918919,yourself,1,0.168067227,even,2,0.347222222,throne,1,0.163666121,,,,,,,
delay,1,0.199600798,paris',2,0.331125828,mind,1,0.17921147,late,1,0.160513644,talk'd,1,0.17211704,loathsome,1,0.160513644,slow,1,0.168918919,pleasure,1,0.168067227,withdraw,1,0.173611111,want,1,0.163666121,,,,,,,
clouds,1,0.199600798,use,2,0.331125828,i',1,0.17921147,bliss,1,0.160513644,ancient,1,0.17211704,mind,1,0.160513644,leaves,1,0.168918919,cats,1,0.168067227,vengeance,1,0.173611111,term,1,0.163666121,,,,,,,
wanting,1,0.199600798,withdraw,1,0.165562914,entreat,1,0.17921147,half,1,0.160513644,shows,1,0.17211704,step,1,0.160513644,mercutio,1,0.168918919,cure,1,0.168067227,judgment,1,0.173611111,strong,1,0.163666121,,,,,,,
affections,1,0.199600798,grandsire,1,0.165562914,whence,1,0.17921147,corse,1,0.160513644,thank,1,0.17211704,shuts,1,0.160513644,over,1,0.168918919,wit,1,0.168067227,turns,1,0.173611111,morning's,1,0.163666121,,,,,,,
messenger,1,0.199600798,disturb,1,0.165562914,pleasure,1,0.17921147,drinks,1,0.160513644,ear,1,0.17211704,morning's,1,0.160513644,wit,1,0.168918919,mark,1,0.168067227,vain,1,0.173611111,honourable,1,0.163666121,,,,,,,
faint,1,0.199600798,counsel,1,0.165562914,wit,1,0.17921147,raised,1,0.160513644,late,1,0.17211704,honourable,1,0.160513644,ear,1,0.168918919,wings,1,0.168067227,choose,1,0.173611111,wednesday,1,0.163666121,,,,,,,
tear,1,0.199600798,prick,1,0.165562914,move,1,0.17921147,able,1,0.160513644,wings,1,0.17211704,seek,1,0.160513644,hark,1,0.168918919,town,1,0.168067227,lady's,1,0.173611111,best,1,0.163666121,,,,,,,
changed,1,0.199600798,strong,1,0.165562914,ghostly,1,0.17921147,account,1,0.160513644,different,1,0.17211704,entreat,1,0.160513644,silver,1,0.168918919,laid,1,0.168067227,welcome,1,0.173611111,cats,1,0.163666121,,,,,,,
fled,1,0.199600798,vain,1,0.165562914,envious,1,0.17921147,town,1,0.160513644,raised,1,0.17211704,robes,1,0.160513644,wings,1,0.168918919,rhyme,1,0.168067227,a',1,0.173611111,shows,1,0.163666121,,,,,,,
encounter,1,0.199600798,wedding,1,0.165562914,half,1,0.17921147,weeps,1,0.160513644,near,1,0.17211704,yourself,1,0.160513644,cunning,1,0.168918919,thither,1,0.168067227,hark,1,0.173611111,over,1,0.163666121,,,,,,,
forget,1,0.199600798,robes,1,0.165562914,near,1,0.17921147,depart,1,0.160513644,able,1,0.17211704,lady's,1,0.160513644,different,1,0.168918919,cease,1,0.168067227,man's,1,0.173611111,shut,1,0.163666121,,,,,,,
beat,1,0.199600798,leaves,1,0.165562914,king,1,0.17921147,mouth,1,0.160513644,town,1,0.17211704,talk'd,1,0.160513644,after,1,0.168918919,among,1,0.168067227,tomb,1,0.173611111,move,1,0.163666121,,,,,,,
griefs,1,0.199600798,choose,1,0.165562914,town,1,0.17921147,villain,1,0.160513644,depart,1,0.17211704,ancient,1,0.160513644,compare,1,0.168918919,youthful,1,0.168067227,weeps,1,0.173611111,shoes,1,0.163666121,,,,,,,
burn,1,0.199600798,yourself,1,0.165562914,stop,1,0.17921147,bridal,1,0.160513644,state,1,0.17211704,unhappy,1,0.160513644,little,1,0.168918919,dark,1,0.168067227,rouse,1,0.173611111,manage,1,0.163666121,,,,,,,
window,1,0.199600798,behold,1,0.165562914,compare,1,0.17921147,laid,1,0.160513644,friends,1,0.17211704,cunning,1,0.160513644,rapier,1,0.168918919,joyful,1,0.168067227,written,1,0.173611111,wings,1,0.163666121,,,,,,,
open,1,0.199600798,welcome,1,0.165562914,laid,1,0.17921147,office,1,0.160513644,capulet's,1,0.17211704,tomb,1,0.160513644,dark,1,0.168918919,sad,1,0.168067227,contrary,1,0.173611111,corse,1,0.163666121,,,,,,,
already,1,0.199600798,a',1,0.165562914,office,1,0.17921147,bitter,1,0.160513644,rejoice,1,0.17211704,weeps,1,0.160513644,benvolio,1,0.168918919,heavens,1,0.168067227,bitter,1,0.173611111,drinks,1,0.163666121,,,,,,,
aloud,1,0.199600798,thank,1,0.165562914,sudden,1,0.17921147,cease,1,0.160513644,rhyme,1,0.17211704,stop,1,0.160513644,steel,1,0.168918919,wall,1,0.168067227,sound,1,0.173611111,weeps,1,0.163666121,,,,,,,
serve,1,0.199600798,manage,1,0.165562914,bitter,1,0.17921147,among,1,0.160513644,brawls,1,0.17211704,mouth,1,0.160513644,hang,1,0.168918919,golden,1,0.168067227,youthful,1,0.173611111,depart,1,0.163666121,,,,,,,
age,1,0.199600798,bliss,1,0.165562914,himself,1,0.17921147,detestable,1,0.160513644,bears,1,0.17211704,bridal,1,0.160513644,business,1,0.168918919,steel,1,0.168067227,little,1,0.173611111,bridal,1,0.163666121,,,,,,,
frown,1,0.199600798,near,1,0.165562914,cease,1,0.17921147,any,1,0.160513644,rapier,1,0.17211704,dies,1,0.160513644,delay,1,0.168918919,antic,1,0.168067227,attendants,1,0.173611111,contrary,1,0.163666121,,,,,,,
weapons,1,0.199600798,account,1,0.165562914,brawls,1,0.17921147,precious,1,0.160513644,storm,1,0.17211704,contrary,1,0.160513644,discourses,1,0.168918919,heads,1,0.168067227,storm,1,0.173611111,friends,1,0.163666121,,,,,,,
sweetest,1,0.199600798,she's,1,0.165562914,little,1,0.17921147,other,1,0.160513644,sad,1,0.17211704,laid,1,0.160513644,clouds,1,0.168918919,excellent,1,0.168067227,foul,1,0.173611111,himself,1,0.163666121,,,,,,,
rather,1,0.199600798,written,1,0.165562914,dog,1,0.17921147,dark,1,0.160513644,we'll,1,0.17211704,capulet's,1,0.160513644,withal,1,0.168918919,clouds,1,0.168067227,discourses,1,0.173611111,thither,1,0.163666121,,,,,,,
music,1,0.199600798,exile,1,0.165562914,heavens,1,0.17921147,joyful,1,0.160513644,longer,1,0.17211704,rejoice,1,0.160513644,likeness,1,0.168918919,tongue,1,0.168067227,excuse,1,0.173611111,sound,1,0.163666121,,,,,,,
drunk,1,0.199600798,laid,1,0.165562914,longer,1,0.17921147,heavens,1,0.160513644,beauty's,1,0.17211704,sound,1,0.160513644,brain,1,0.168918919,cursed,1,0.168067227,clouds,1,0.173611111,heavy,1,0.163666121,,,,,,,
means,1,0.199600798,break,1,0.165562914,shadows,1,0.17921147,longer,1,0.160513644,antic,1,0.17211704,detestable,1,0.160513644,fingers,1,0.168918919,immortal,1,0.168067227,daylight,1,0.173611111,joyful,1,0.163666121,,,,,,,
alack,1,0.199600798,bitter,1,0.165562914,hang,1,0.17921147,beauty's,1,0.160513644,cheer,1,0.17211704,bears,1,0.160513644,devil,1,0.168918919,count,1,0.168067227,sounding,1,0.173611111,hereafter,1,0.163666121,,,,,,,
summer,1,0.199600798,himself,1,0.165562914,business,1,0.17921147,mortal,1,0.160513644,clouds,1,0.17211704,youthful,1,0.160513644,window,1,0.168918919,thus,1,0.168067227,kisses,1,0.173611111,case,1,0.163666121,,,,,,,
e'er,1,0.199600798,thither,1,0.165562914,weep,1,0.17921147,hang,1,0.160513644,cursed,1,0.17211704,little,1,0.160513644,prologue,1,0.168918919,free,1,0.168067227,approach,1,0.173611111,steel,1,0.163666121,,,,,,,
kinsmen,1,0.199600798,little,1,0.165562914,heads,1,0.17921147,trouble,1,0.160513644,withal,1,0.17211704,heavy,1,0.160513644,old,1,0.168918919,approach,1,0.168067227,sorrow,1,0.173611111,mortal,1,0.163666121,,,,,,,
satisfied,1,0.199600798,attendants,1,0.165562914,delay,1,0.17921147,weep,1,0.160513644,count,1,0.17211704,modesty,1,0.160513644,yours,1,0.168918919,likeness,1,0.168067227,thanks,1,0.173611111,yond,1,0.163666121,,,,,,,
struck,1,0.199600798,precious,1,0.165562914,clouds,1,0.17921147,wanting,1,0.160513644,encounter,1,0.17211704,sad,1,0.160513644,loathed,1,0.168918919,encounter,1,0.168067227,living,1,0.173611111,hood,1,0.163666121,,,,,,,
who's,1,0.199600798,other,1,0.165562914,withal,1,0.17921147,cursed,1,0.160513644,wakes,1,0.17211704,heavens,1,0.160513644,hundred,1,0.168918919,forget,1,0.168067227,east,1,0.173611111,affections,1,0.163666121,,,,,,,
lover,1,0.199600798,hereafter,1,0.165562914,tear,1,0.17921147,messenger,1,0.160513644,torch,1,0.17211704,foul,1,0.160513644,goes,1,0.168918919,day's,1,0.168067227,griefs,1,0.173611111,faint,1,0.163666121,,,,,,,
every,1,0.199600798,county,1,0.165562914,free,1,0.17921147,tear,1,0.160513644,dost,1,0.17211704,business,1,0.160513644,worn,1,0.168918919,east,1,0.168067227,goes,1,0.173611111,fled,1,0.163666121,,,,,,,
sun,1,0.199600798,golden,1,0.165562914,changed,1,0.17921147,kisses,1,0.160513644,burn,1,0.17211704,trouble,1,0.160513644,beams,1,0.168918919,griefs,1,0.168067227,urged,1,0.173611111,fingers,1,0.163666121,,,,,,,
fought,1,0.199600798,steel,1,0.165562914,forget,1,0.17921147,approach,1,0.160513644,window,1,0.17211704,weep,1,0.160513644,pure,1,0.168918919,window,1,0.168067227,age,1,0.173611111,beat,1,0.163666121,,,,,,,
wish,1,0.199600798,shadows,1,0.165562914,dost,1,0.17921147,living,1,0.160513644,sings,1,0.17211704,cheer,1,0.160513644,nest,1,0.168918919,water,1,0.168067227,weapons,1,0.173611111,living,1,0.163666121,,,,,,,
lead,1,0.199600798,excellent,1,0.165562914,waking,1,0.17921147,waking,1,0.160513644,yours,1,0.17211704,clouds,1,0.160513644,god,1,0.168918919,worn,1,0.168067227,god,1,0.173611111,spy,1,0.163666121,,,,,,,
thoughts,1,0.199600798,clouds,1,0.165562914,suit,1,0.17921147,water,1,0.160513644,pay,1,0.17211704,tongue,1,0.160513644,banish'd,1,0.168918919,paradise,1,0.168067227,sweetest,1,0.173611111,window,1,0.163666121,,,,,,,
answer,1,0.199600798,kisses,1,0.165562914,goes,1,0.17921147,pay,1,0.160513644,fellow,1,0.17211704,sounding,1,0.160513644,drunk,1,0.168918919,honour,1,0.168067227,page,1,0.173611111,hundred,1,0.163666121,,,,,,,
lo,1,0.199600798,thus,1,0.165562914,worn,1,0.17921147,worn,1,0.160513644,already,1,0.17211704,faint,1,0.160513644,month,1,0.168918919,rather,1,0.168067227,gentlemen,1,0.173611111,aloud,1,0.163666121,,,,,,,
broke,1,0.199600798,torch,1,0.165562914,paradise,1,0.17921147,age,1,0.160513644,serve,1,0.17211704,kisses,1,0.160513644,through,1,0.168918919,look'st,1,0.168067227,weak,1,0.173611111,whip,1,0.163666121,,,,,,,
further,1,0.199600798,burn,1,0.165562914,serve,1,0.17921147,slew,1,0.160513644,age,1,0.17211704,likeness,1,0.160513644,alack,1,0.168918919,alack,1,0.168067227,dance,1,0.173611111,something,1,0.163666121,,,,,,,
toward,1,0.199600798,loathed,1,0.165562914,cut,1,0.17921147,cut,1,0.160513644,something,1,0.17211704,spy,1,0.160513644,worse,1,0.168918919,[aside],1,0.168067227,turn,1,0.173611111,general,1,0.163666121,,,,,,,
weapon,1,0.199600798,empty,1,0.165562914,god-den,1,0.17921147,general,1,0.160513644,calls,1,0.17211704,waking,1,0.160513644,buy,1,0.168918919,bite,1,0.168067227,desperate,1,0.173611111,needs,1,0.163666121,,,,,,,
quarrel,1,0.199600798,fellow,1,0.165562914,frown,1,0.17921147,nest,1,0.160513644,cut,1,0.17211704,hundred,1,0.160513644,trim,1,0.168918919,trow,1,0.168067227,satisfied,1,0.173611111,afford,1,0.163666121,,,,,,,
church,1,0.199600798,already,1,0.165562914,methinks,1,0.17921147,days,1,0.160513644,god,1,0.17211704,fellow,1,0.160513644,amorous,1,0.168918919,e'er,1,0.168067227,buy,1,0.173611111,drunk,1,0.163666121,,,,,,,
left,1,0.199600798,serve,1,0.165562914,flies,1,0.17921147,coming,1,0.160513644,rather,1,0.17211704,honour,1,0.160513644,didst,1,0.168918919,desperate,1,0.168067227,didst,1,0.173611111,page,1,0.163666121,,,,,,,
behind,1,0.199600798,whip,1,0.165562914,afford,1,0.17921147,strange,1,0.160513644,music,1,0.17211704,sweetest,1,0.160513644,thrust,1,0.168918919,worse,1,0.168067227,'twixt,1,0.173611111,strange,1,0.163666121,,,,,,,
laugh,1,0.199600798,beams,1,0.165562914,music,1,0.17921147,through,1,0.160513644,weak,1,0.17211704,afford,1,0.160513644,blade,1,0.168918919,youth,1,0.168067227,effect,1,0.173611111,alack,1,0.163666121,,,,,,,
protest,1,0.199600798,calls,1,0.165562914,look'st,1,0.17921147,merciful,1,0.160513644,houses,1,0.17211704,rather,1,0.160513644,thine,1,0.168918919,satisfied,1,0.168067227,where's,1,0.173611111,turn,1,0.163666121,,,,,,,
held,1,0.199600798,cut,1,0.165562914,page,1,0.17921147,buy,1,0.160513644,turn,1,0.17211704,turn,1,0.160513644,where's,1,0.168918919,who's,1,0.168067227,found,1,0.173611111,speaks,1,0.163666121,,,,,,,
spread,1,0.199600798,music,1,0.165562914,patient,1,0.17921147,stuff'd,1,0.160513644,bite,1,0.17211704,e'er,1,0.160513644,everlasting,1,0.168918919,didst,1,0.168067227,closed,1,0.173611111,merciful,1,0.163666121,,,,,,,
rosemary,1,0.199600798,month,1,0.165562914,home,1,0.17921147,amorous,1,0.160513644,trow,1,0.17211704,trim,1,0.160513644,doting,1,0.168918919,thine,1,0.168067227,thoughts,1,0.173611111,stuff'd,1,0.163666121,,,,,,,
streets,1,0.199600798,coming,1,0.165562914,where's,1,0.17921147,hearing,1,0.160513644,youth,1,0.17211704,wedding-day,1,0.160513644,belonging,1,0.168918919,either,1,0.168067227,words,1,0.173611111,wedding-day,1,0.163666121,,,,,,,
indeed,1,0.199600798,weak,1,0.165562914,either,1,0.17921147,found,1,0.160513644,morning,1,0.17211704,glad,1,0.160513644,lead,1,0.168918919,draw,1,0.168067227,answer,1,0.173611111,bier,1,0.163666121,,,,,,,
voice,1,0.199600798,dance,1,0.165562914,grey,1,0.17921147,everlasting,1,0.160513644,air,1,0.17211704,air,1,0.160513644,thoughts,1,0.168918919,far,1,0.168067227,broke,1,0.173611111,doting,1,0.163666121,,,,,,,
meaning,1,0.199600798,summer,1,0.165562914,knock,1,0.17921147,closed,1,0.160513644,thine,1,0.17211704,'twixt,1,0.160513644,measure,1,0.168918919,montague,1,0.168067227,others,1,0.173611111,wish,1,0.163666121,,,,,,,
sake,1,0.199600798,kinsmen,1,0.165562914,nice,1,0.17921147,sun,1,0.160513644,effect,1,0.17211704,hearing,1,0.160513644,wrought,1,0.168918919,pair,1,0.168067227,further,1,0.173611111,grey,1,0.163666121,,,,,,,
to-day,1,0.199600798,worse,1,0.165562914,supper,1,0.17921147,suck'd,1,0.160513644,lead,1,0.17211704,speed,1,0.160513644,lo,1,0.168918919,power,1,0.168067227,pass,1,0.173611111,answer,1,0.163666121,,,,,,,
chance,1,0.199600798,glad,1,0.165562914,church,1,0.17921147,far,1,0.160513644,devotion,1,0.17211704,found,1,0.160513644,montague,1,0.168918919,might,1,0.168067227,fight,1,0.173611111,wrought,1,0.163666121,,,,,,,
mask,1,0.199600798,struck,1,0.165562914,wide,1,0.17921147,belonging,1,0.160513644,pair,1,0.17211704,bier,1,0.160513644,many,1,0.168918919,sense,1,0.168067227,favour,1,0.173611111,montague,1,0.163666121,,,,,,,
orchard,1,0.199600798,home,1,0.165562914,toad,1,0.17921147,words,1,0.160513644,servingmen,1,0.17211704,devotion,1,0.160513644,self,1,0.168918919,hate,1,0.168067227,delights,1,0.173611111,lives,1,0.163666121,,,,,,,
felt,1,0.199600798,blade,1,0.165562914,yonder,1,0.17921147,lo,1,0.160513644,others,1,0.17211704,hear'st,1,0.160513644,cords,1,0.168918919,revived,1,0.168067227,laugh,1,0.173611111,many,1,0.163666121,,,,,,,
prettiest,1,0.199600798,food,1,0.165562914,held,1,0.17921147,nice,1,0.160513644,toward,1,0.17211704,might,1,0.160513644,toward,1,0.168918919,wide,1,0.168067227,'tis,1,0.173611111,further,1,0.163666121,,,,,,,
believe,1,0.199600798,where's,1,0.165562914,slay,1,0.17921147,further,1,0.160513644,despised,1,0.17211704,self,1,0.160513644,revived,1,0.168918919,loved,1,0.168067227,thence,1,0.173611111,hate,1,0.163666121,,,,,,,
womb,1,0.199600798,either,1,0.165562914,finds,1,0.17921147,hate,1,0.160513644,brief,1,0.17211704,despised,1,0.160513644,left,1,0.168918919,weeds,1,0.168067227,cup,1,0.173611111,leap,1,0.163666121,,,,,,,
between,1,0.199600798,draw,1,0.165562914,unaccustom'd,1,0.17921147,noble,1,0.160513644,church,1,0.17211704,leap,1,0.160513644,wide,1,0.168918919,wench,1,0.168067227,meaning,1,0.173611111,noble,1,0.163666121,,,,,,,
FALSE,1,0.199600798,closed,1,0.165562914,towards,1,0.17921147,left,1,0.160513644,perforce,1,0.17211704,left,1,0.160513644,fight,1,0.168918919,meant,1,0.168067227,newly,1,0.173611111,wear,1,0.163666121,,,,,,,
knees,1,0.199600798,done,1,0.165562914,indeed,1,0.17921147,pitiful,1,0.160513644,heart's,1,0.17211704,pitiful,1,0.160513644,meat,1,0.168918919,fools,1,0.168067227,needy,1,0.173611111,soldier's,1,0.163666121,,,,,,,
maidenhead,1,0.199600798,fought,1,0.165562914,helps,1,0.17921147,fight,1,0.160513644,fight,1,0.17211704,mortals,1,0.160513644,mortals,1,0.168918919,kill,1,0.168067227,put,1,0.173611111,fight,1,0.163666121,,,,,,,
loving,1,0.199600798,suck'd,1,0.165562914,citizens,1,0.17921147,favour,1,0.160513644,yonder,1,0.17211704,behind,1,0.160513644,toad,1,0.168918919,capulets,1,0.168067227,tops,1,0.173611111,loved,1,0.163666121,,,,,,,
write,1,0.199600798,lead,1,0.165562914,wench,1,0.17921147,says,1,0.160513644,laugh,1,0.17211704,yonder,1,0.160513644,delights,1,0.168918919,wits,1,0.168067227,prepare,1,0.173611111,toad,1,0.163666121,,,,,,,
get,1,0.199600798,cruel,1,0.165562914,tops,1,0.17921147,finds,1,0.160513644,musicians,1,0.17211704,beg,1,0.160513644,saucy,1,0.168918919,womb,1,0.168067227,wake,1,0.173611111,protest,1,0.163666121,,,,,,,
less,1,0.199600798,canst,1,0.165562914,name,1,0.17921147,unaccustom'd,1,0.160513644,meaning,1,0.17211704,citizens,1,0.160513644,protest,1,0.168918919,gaze,1,0.168067227,rude,1,0.173611111,slay,1,0.163666121,,,,,,,
pluck,1,0.199600798,further,1,0.165562914,hell,1,0.17921147,weeds,1,0.160513644,fetch,1,0.17211704,ye,1,0.160513644,fights,1,0.168918919,name's,1,0.168067227,once,1,0.173611111,fights,1,0.163666121,,,,,,,
were,1,0.199600798,weapon,1,0.165562914,course,1,0.17921147,thence,1,0.160513644,slave,1,0.17211704,writ,1,0.160513644,unaccustom'd,1,0.168918919,loving,1,0.168067227,affection,1,0.173611111,spread,1,0.163666121,,,,,,,
taste,1,0.199600798,despised,1,0.165562914,flowers,1,0.17921147,indeed,1,0.160513644,to-day,1,0.17211704,forty,1,0.160513644,indeed,1,0.168918919,raise,1,0.168067227,name's,1,0.173611111,towards,1,0.163666121,,,,,,,
white,1,0.199600798,noble,1,0.165562914,believe,1,0.17921147,voice,1,0.160513644,helps,1,0.17211704,capulets,1,0.160513644,sake,1,0.168918919,vestal,1,0.168067227,'ay',1,0.173611111,cup,1,0.163666121,,,,,,,
close,1,0.199600798,quarrel,1,0.165562914,spoke,1,0.17921147,slave,1,0.160513644,fiery,1,0.17211704,plays,1,0.160513644,to-day,1,0.168918919,arm,1,0.168067227,began,1,0.173611111,indeed,1,0.163666121,,,,,,,
henceforth,1,0.199600798,perforce,1,0.165562914,repent,1,0.17921147,newly,1,0.160513644,writ,1,0.17211704,flowers,1,0.160513644,ye,1,0.168918919,less,1,0.168067227,verona,1,0.173611111,enough,1,0.163666121,,,,,,,
tremble,1,0.199600798,soldier's,1,0.165562914,mean,1,0.17921147,tale,1,0.160513644,foe,1,0.17211704,heir,1,0.160513644,orchard,1,0.168918919,slaughter'd,1,0.168067227,field,1,0.173611111,fetch,1,0.163666121,,,,,,,
feasting,1,0.199600798,fight,1,0.165562914,knees,1,0.17921147,capulets,1,0.160513644,came,1,0.17211704,feast,1,0.160513644,came,1,0.168918919,taste,1,0.168067227,vestal,1,0.173611111,citizens,1,0.163666121,,,,,,,
sentence,1,0.199600798,loved,1,0.165562914,maidenhead,1,0.17921147,strength,1,0.160513644,maid,1,0.17211704,repent,1,0.160513644,forty,1,0.168918919,attend,1,0.168067227,get,1,0.173611111,wench,1,0.163666121,,,,,,,
wound,1,0.199600798,saucy,1,0.165562914,tyrant,1,0.17921147,rate,1,0.160513644,plays,1,0.17211704,mean,1,0.160513644,strength,1,0.168918919,dares,1,0.168067227,pluck,1,0.173611111,meant,1,0.163666121,,,,,,,
whom,1,0.199600798,daughter's,1,0.165562914,begins,1,0.17921147,bury,1,0.160513644,lovers',1,0.17211704,once,1,0.160513644,wits,1,0.168918919,oft,1,0.168067227,private,1,0.173611111,foe,1,0.163666121,,,,,,,
master,1,0.199600798,musicians,1,0.165562914,slander,1,0.17921147,believe,1,0.160513644,proof,1,0.17211704,spite,1,0.160513644,rate,1,0.168918919,birth,1,0.168067227,mantua,1,0.173611111,maid,1,0.163666121,,,,,,,
prison,1,0.199600798,husband,1,0.165562914,shalt,1,0.17921147,heir,1,0.160513644,bury,1,0.17211704,loving,1,0.160513644,bury,1,0.168918919,virtuous,1,0.168067227,madam,1,0.173611111,content,1,0.163666121,,,,,,,
solemnity,1,0.199600798,'tis,1,0.165562914,reason,1,0.17921147,joy,1,0.160513644,believe,1,0.17211704,field,1,0.160513644,felt,1,0.168918919,say'st,1,0.168067227,bones,1,0.173611111,name,1,0.163666121,,,,,,,
saint,1,0.199600798,cup,1,0.165562914,get,1,0.17921147,c,1,0.160513644,heir,1,0.17211704,reason,1,0.160513644,present,1,0.168918919,awhile,1,0.168067227,attend,1,0.173611111,bare,1,0.163666121,,,,,,,
powder,1,0.199600798,streets,1,0.165562914,asleep,1,0.17921147,raise,1,0.160513644,mean,1,0.17211704,told,1,0.160513644,affection,1,0.168918919,fail,1,0.168067227,white,1,0.173611111,mistress,1,0.163666121,,,,,,,
consent,1,0.199600798,voice,1,0.165562914,stay'd,1,0.17921147,unlucky,1,0.160513644,once,1,0.17211704,asleep,1,0.160513644,loving,1,0.168918919,venus,1,0.168067227,bearing,1,0.173611111,rude,1,0.163666121,,,,,,,
quiet,1,0.199600798,slave,1,0.165562914,close,1,0.17921147,write,1,0.160513644,loving,1,0.17211704,knows,1,0.160513644,begins,1,0.168918919,ended,1,0.168067227,henceforth,1,0.173611111,FALSE,1,0.163666121,,,,,,,
broad,1,0.199600798,tale,1,0.165562914,fail,1,0.17921147,shalt,1,0.160513644,began,1,0.17211704,that's,1,0.160513644,slander,1,0.168918919,wound,1,0.168067227,oft,1,0.173611111,c,1,0.163666121,,,,,,,
read,1,0.199600798,citizens,1,0.165562914,tears,1,0.17921147,told,1,0.160513644,well-a-day,1,0.17211704,bring,1,0.160513644,told,1,0.168918919,master,1,0.168067227,giving,1,0.173611111,knees,1,0.163666121,,,,,,,
send,1,0.199600798,fiery,1,0.165562914,henceforward,1,0.17921147,kinsman,1,0.160513644,verona,1,0.17211704,sought,1,0.160513644,kinsman,1,0.168918919,excels,1,0.168067227,patience,1,0.173611111,unlucky,1,0.163666121,,,,,,,
beshrew,1,0.199600798,ye,1,0.165562914,whom,1,0.17921147,knows,1,0.160513644,because,1,0.17211704,bones,1,0.160513644,leave,1,0.168918919,hadst,1,0.168067227,hangs,1,0.173611111,well-a-day,1,0.163666121,,,,,,,
nay,1,0.199600798,fools,1,0.165562914,stir,1,0.17921147,sold,1,0.160513644,kinsman,1,0.17211704,humour,1,0.160513644,knows,1,0.168918919,kind,1,0.168067227,lamb,1,0.173611111,lovely,1,0.163666121,,,,,,,
veins,1,0.199600798,maid,1,0.165562914,excels,1,0.17921147,were,1,0.160513644,that's,1,0.17211704,bearing,1,0.160513644,company,1,0.168918919,pilot,1,0.168067227,room,1,0.173611111,reason,1,0.163666121,,,,,,,
untimely,1,0.199600798,strength,1,0.165562914,you'll,1,0.17921147,slaughter'd,1,0.160513644,sought,1,0.17211704,presence,1,0.160513644,slaughter'd,1,0.168918919,demesnes,1,0.168067227,master,1,0.173611111,sold,1,0.163666121,,,,,,,
hie,1,0.199600798,hell,1,0.165562914,mistress',1,0.17921147,close,1,0.160513644,taste,1,0.17211704,tremble,1,0.160513644,mantua,1,0.168918919,bold,1,0.168067227,wretch,1,0.173611111,wearing,1,0.163666121,,,,,,,
quickly,1,0.199600798,wits,1,0.165562914,save,1,0.17921147,world's,1,0.160513644,soon,1,0.17211704,feasting,1,0.160513644,wearing,1,0.168918919,send,1,0.168067227,kind,1,0.173611111,bring,1,0.163666121,,,,,,,
ope,1,0.199600798,mistress,1,0.165562914,consent,1,0.17921147,oft,1,0.160513644,close,1,0.17211704,lamb,1,0.160513644,sought,1,0.168918919,descend,1,0.168067227,herself,1,0.173611111,attend,1,0.163666121,,,,,,,
hands,1,0.199600798,prettiest,1,0.165562914,kind,1,0.17921147,enemies,1,0.160513644,brags,1,0.17211704,venus,1,0.160513644,bones,1,0.168918919,confession,1,0.168067227,ruled,1,0.173611111,world's,1,0.163666121,,,,,,,
