,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
sooth,1,0.202020202,serpent,1,0.210526316,tinker,1,0.236966825,high,1,0.243902439,privilege,1,0.219298246,didst,1,0.22172949,pass,1,0.224719101,vile,1,0.225733634,strong,1,0.254452926,answer,1,0.226244344
fail,1,0.202020202,fairies,1,0.210526316,fright,1,0.236966825,else,1,0.243902439,king,1,0.219298246,beguile,1,0.22172949,note,1,0.224719101,hearing,1,0.225733634,sighs,1,0.254452926,stands,1,0.226244344
stars,1,0.202020202,salt,1,0.210526316,whole,1,0.236966825,strong,1,0.243902439,cranny,1,0.219298246,father's,1,0.22172949,brier,1,0.224719101,sometime,1,0.225733634,juice,1,0.254452926,swear,1,0.226244344
cupid,1,0.202020202,loves,1,0.210526316,minds,1,0.236966825,another's,1,0.243902439,had,1,0.219298246,mistake,1,0.22172949,straightway,1,0.224719101,half,1,0.225733634,train,1,0.254452926,note,1,0.226244344
summer's,1,0.202020202,fie,1,0.210526316,love's,1,0.236966825,attendants,1,0.243902439,mirth,1,0.219298246,quince,1,0.22172949,had,1,0.224719101,write,1,0.225733634,virtue,1,0.254452926,vile,1,0.226244344
salt,1,0.202020202,lover's,1,0.210526316,awaking,1,0.236966825,fright,1,0.243902439,lanthorn,1,0.219298246,music,1,0.22172949,lion's,1,0.224719101,desire,1,0.225733634,ground,1,0.254452926,brier,1,0.226244344
moonlight,1,0.202020202,temple,1,0.210526316,swifter,1,0.236966825,stood,1,0.243902439,sometime,1,0.219298246,dreams,1,0.22172949,perchance,1,0.224719101,coming,1,0.225733634,saw,1,0.254452926,hearing,1,0.226244344
fie,1,0.202020202,swear,1,0.210526316,yourselves,1,0.236966825,hide,1,0.243902439,both,1,0.219298246,played,1,0.22172949,sword,1,0.224719101,reason,1,0.225733634,puck,1,0.254452926,manners,1,0.226244344
souls,1,0.202020202,comfort,1,0.210526316,once,1,0.236966825,confusion,1,0.243902439,sir,1,0.219298246,strong,1,0.22172949,oberon,1,0.224719101,end,1,0.225733634,hide,1,0.254452926,privilege,1,0.226244344
pass,1,0.202020202,manners,1,0.210526316,stolen,1,0.236966825,behind,1,0.243902439,therefore,1,0.219298246,train,1,0.22172949,both,1,0.224719101,cue,1,0.225733634,hair,1,0.254452926,great,1,0.226244344
temple,1,0.202020202,see'st,1,0.210526316,gallant,1,0.236966825,snug,1,0.243902439,shadows,1,0.219298246,bird,1,0.22172949,scorn,1,0.224719101,tinker,1,0.225733634,ninny's,1,0.254452926,mirth,1,0.226244344
present,1,0.202020202,known,1,0.210526316,employ,1,0.236966825,looks,1,0.243902439,mother,1,0.219298246,stood,1,0.22172949,consider,1,0.224719101,groves,1,0.225733634,love's,1,0.254452926,took,1,0.226244344
swear,1,0.202020202,took,1,0.210526316,flight,1,0.236966825,tear,1,0.243902439,didst,1,0.219298246,draws,1,0.22172949,crush,1,0.224719101,care,1,0.225733634,revels,1,0.254452926,chide,1,0.226244344
note,1,0.202020202,grow,1,0.210526316,two,1,0.236966825,confess,1,0.243902439,time,1,0.219298246,sing,1,0.22172949,time,1,0.224719101,thisby,1,0.225733634,home,1,0.254452926,half,1,0.226244344
vile,1,0.202020202,sword,1,0.210526316,cunning,1,0.236966825,merry,1,0.243902439,lay,1,0.219298246,hair,1,0.22172949,desire,1,0.224719101,confusion,1,0.225733634,awaking,1,0.254452926,crush,1,0.226244344
already,1,0.202020202,sir,1,0.210526316,woman,1,0.236966825,simplicity,1,0.243902439,reason,1,0.219298246,minds,1,0.22172949,chance,1,0.224719101,behind,1,0.225733634,looks,1,0.254452926,mistake,1,0.226244344
brier,1,0.202020202,dost,1,0.210526316,taste,1,0.236966825,worthier,1,0.243902439,music,1,0.219298246,intent,1,0.22172949,end,1,0.224719101,company,1,0.225733634,immediately,1,0.254452926,enamour'd,1,0.226244344
think,1,0.202020202,write,1,0.210526316,mortals,1,0.236966825,cat,1,0.243902439,cue,1,0.219298246,'tis,1,0.22172949,cue,1,0.224719101,flowers,1,0.225733634,confess,1,0.254452926,quince,1,0.226244344
according,1,0.202020202,bow,1,0.210526316,move,1,0.236966825,lose,1,0.243902439,shield,1,0.219298246,loam,1,0.22172949,shield,1,0.224719101,while,1,0.225733634,flowers,1,0.254452926,even,1,0.226244344
king,1,0.202020202,even,1,0.210526316,faint,1,0.236966825,needs,1,0.243902439,eyne,1,0.219298246,confess,1,0.22172949,played,1,0.224719101,cat,1,0.225733634,virtuous,1,0.254452926,bush,1,0.226244344
great,1,0.202020202,else,1,0.210526316,days,1,0.236966825,taste,1,0.243902439,train,1,0.219298246,while,1,0.22172949,ground,1,0.224719101,stolen,1,0.225733634,hand,1,0.254452926,whether,1,0.226244344
straightway,1,0.202020202,train,1,0.210526316,wind,1,0.236966825,discretion,1,0.243902439,another's,1,0.219298246,himself,1,0.22172949,saw,1,0.224719101,gallant,1,0.225733634,whose,1,0.254452926,falls,1,0.226244344
cranny,1,0.202020202,whole,1,0.210526316,deep,1,0.236966825,bellows-mender,1,0.243902439,attendants,1,0.219298246,flight,1,0.22172949,hair,1,0.224719101,goes,1,0.225733634,cries,1,0.254452926,else,1,0.226244344
see'st,1,0.202020202,flute,1,0.210526316,weaver,1,0.236966825,business,1,0.243902439,fright,1,0.219298246,couples,1,0.22172949,minds,1,0.224719101,flight,1,0.225733634,maiden,1,0.254452926,train,1,0.226244344
lion's,1,0.202020202,hatred,1,0.210526316,dog,1,0.236966825,maiden,1,0.243902439,flute,1,0.219298246,woman,1,0.22172949,intent,1,0.224719101,told,1,0.225733634,faint,1,0.254452926,ground,1,0.226244344
find,1,0.202020202,hide,1,0.210526316,wherefore,1,0.236966825,move,1,0.243902439,soon,1,0.219298246,worn,1,0.22172949,behind,1,0.224719101,worn,1,0.225733634,sleep,1,0.254452926,care,1,0.226244344
sometime,1,0.202020202,common,1,0.210526316,question,1,0.236966825,days,1,0.243902439,hide,1,0.219298246,large,1,0.22172949,'tis,1,0.224719101,taste,1,0.225733634,show,1,0.254452926,soon,1,0.226244344
spirits,1,0.202020202,grove,1,0.210526316,another,1,0.236966825,ancient,1,0.243902439,common,1,0.219298246,actors,1,0.22172949,tall,1,0.224719101,bellows-mender,1,0.225733634,want,1,0.254452926,sing,1,0.226244344
half,1,0.202020202,hair,1,0.210526316,desires,1,0.236966825,means,1,0.243902439,minds,1,0.219298246,days,1,0.22172949,merry,1,0.224719101,undistinguishable,1,0.225733634,whither,1,0.254452926,awaking,1,0.226244344
hast,1,0.202020202,wedded,1,0.210526316,duty,1,0.236966825,want,1,0.243902439,hop,1,0.219298246,forgot,1,0.22172949,swifter,1,0.224719101,mortals,1,0.225733634,spent,1,0.254452926,tall,1,0.226244344
sir,1,0.202020202,revels,1,0.210526316,appears,1,0.236966825,crowns,1,0.243902439,'tis,1,0.219298246,means,1,0.22172949,once,1,0.224719101,faint,1,0.225733634,interlude,1,0.254452926,immediately,1,0.226244344
consider,1,0.202020202,gait,1,0.210526316,many,1,0.236966825,whither,1,0.243902439,tear,1,0.219298246,certain,1,0.22172949,solemnity,1,0.224719101,large,1,0.225733634,gone,1,0.254452926,loam,1,0.226244344
measure,1,0.202020202,further,1,0.210526316,haste,1,0.236966825,hail,1,0.243902439,further,1,0.219298246,nature,1,0.22172949,while,1,0.224719101,fall,1,0.225733634,wind,1,0.254452926,flowers,1,0.226244344
music,1,0.202020202,merry,1,0.210526316,thence,1,0.236966825,content,1,0.243902439,tall,1,0.219298246,appears,1,0.22172949,mouth,1,0.224719101,parting,1,0.225733634,eat,1,0.254452926,once,1,0.226244344
end,1,0.202020202,worthier,1,0.210526316,tread,1,0.236966825,another,1,0.243902439,merry,1,0.219298246,world,1,0.22172949,lose,1,0.224719101,gone,1,0.225733634,lips,1,0.254452926,while,1,0.226244344
cue,1,0.202020202,flowers,1,0.210526316,written,1,0.236966825,methinks,1,0.243902439,swifter,1,0.219298246,woe,1,0.22172949,hand,1,0.224719101,wind,1,0.225733634,single,1,0.254452926,employ,1,0.226244344
shield,1,0.202020202,stolen,1,0.210526316,bodies,1,0.236966825,desires,1,0.243902439,simplicity,1,0.219298246,many,1,0.22172949,whose,1,0.224719101,eat,1,0.225733634,knavish,1,0.254452926,mouth,1,0.226244344
played,1,0.202020202,i'll,1,0.210526316,monstrous,1,0.236966825,hermia's,1,0.243902439,company,1,0.219298246,over,1,0.22172949,sent,1,0.224719101,nature,1,0.225733634,telling,1,0.254452926,goes,1,0.226244344
train,1,0.202020202,horse,1,0.210526316,loved,1,0.236966825,world,1,0.243902439,compare,1,0.219298246,until,1,0.22172949,mortals,1,0.224719101,since,1,0.225733634,methinks,1,0.254452926,mortal,1,0.226244344
virtue,1,0.202020202,couples,1,0.210526316,dote,1,0.236966825,modesty,1,0.243902439,fault,1,0.219298246,hercules,1,0.22172949,themselves,1,0.224719101,world,1,0.225733634,bless,1,0.254452926,cunning,1,0.226244344
groves,1,0.202020202,canst,1,0.210526316,beauty,1,0.236966825,thence,1,0.243902439,flowers,1,0.219298246,fell,1,0.22172949,show,1,0.224719101,over,1,0.225733634,floods,1,0.254452926,undistinguishable,1,0.226244344
wake,1,0.202020202,woman,1,0.210526316,quince's,1,0.236966825,speed,1,0.243902439,himself,1,0.219298246,mark,1,0.22172949,certain,1,0.224719101,hercules,1,0.225733634,force,1,0.254452926,glimmering,1,0.226244344
shape,1,0.202020202,glimmering,1,0.210526316,green,1,0.236966825,sail,1,0.243902439,cat,1,0.219298246,voice,1,0.22172949,parting,1,0.224719101,silence,1,0.225733634,herb,1,0.254452926,move,1,0.226244344
hatred,1,0.202020202,maiden,1,0.210526316,making,1,0.236966825,swift,1,0.243902439,elves,1,0.219298246,sickness,1,0.22172949,interlude,1,0.224719101,force,1,0.225733634,very,1,0.254452926,forgot,1,0.226244344
soon,1,0.202020202,cowardice,1,0.210526316,turn'd,1,0.236966825,wont,1,0.243902439,two,1,0.219298246,fresh,1,0.22172949,gone,1,0.224719101,mark,1,0.225733634,fresh,1,0.254452926,certain,1,0.226244344
sing,1,0.202020202,actors,1,0.210526316,near,1,0.236966825,smooth,1,0.243902439,mortal,1,0.219298246,wait,1,0.22172949,eat,1,0.224719101,voice,1,0.225733634,effect,1,0.254452926,hail,1,0.226244344
grove,1,0.202020202,crowns,1,0.210526316,liquor,1,0.236966825,play,1,0.243902439,needs,1,0.219298246,frame,1,0.22172949,youth,1,0.224719101,breath,1,0.225733634,town,1,0.254452926,fear,1,0.226244344
snow,1,0.202020202,wind,1,0.210526316,ye,1,0.236966825,yoke,1,0.243902439,cries,1,0.219298246,anon,1,0.22172949,honest,1,0.224719101,smooth,1,0.225733634,sleeps,1,0.254452926,youth,1,0.226244344
love's,1,0.202020202,youth,1,0.210526316,buds,1,0.236966825,blessed,1,0.243902439,cowardice,1,0.219298246,were,1,0.22172949,wherefore,1,0.224719101,straight,1,0.225733634,were,1,0.254452926,dog,1,0.226244344
intent,1,0.202020202,wit,1,0.210526316,truest,1,0.236966825,discharge,1,0.243902439,passion,1,0.219298246,beasts,1,0.22172949,methinks,1,0.224719101,dote,1,0.225733634,beasts,1,0.254452926,knavish,1,0.226244344
wedded,1,0.202020202,honest,1,0.210526316,master,1,0.236966825,green,1,0.243902439,show,1,0.219298246,turn,1,0.22172949,glance,1,0.224719101,fierce,1,0.225733634,making,1,0.254452926,question,1,0.226244344
awaking,1,0.202020202,telling,1,0.210526316,visage,1,0.236966825,turn'd,1,0.243902439,read,1,0.219298246,near,1,0.22172949,bless,1,0.224719101,breast,1,0.225733634,turn,1,0.254452926,starveling,1,0.226244344
swifter,1,0.202020202,desires,1,0.210526316,vexation,1,0.236966825,air,1,0.243902439,spent,1,0.219298246,presence,1,0.22172949,tremble,1,0.224719101,dead,1,0.225733634,dead,1,0.254452926,methinks,1,0.226244344
company,1,0.202020202,modesty,1,0.210526316,stay,1,0.236966825,weary,1,0.243902439,methinks,1,0.219298246,weary,1,0.22172949,together,1,0.224719101,forester,1,0.225733634,unto,1,0.254452926,glance,1,0.226244344
once,1,0.202020202,until,1,0.210526316,bosom,1,0.236966825,melody,1,0.243902439,low,1,0.219298246,peace,1,0.22172949,indeed,1,0.224719101,tuneable,1,0.225733634,purple,1,0.254452926,low,1,0.226244344
himself,1,0.202020202,written,1,0.210526316,art,1,0.236966825,affection,1,0.243902439,off,1,0.219298246,ye,1,0.22172949,neighbours,1,0.224719101,hence,1,0.225733634,sphere,1,0.254452926,floods,1,0.226244344
virtuous,1,0.202020202,fingers,1,0.210526316,hippolyta,1,0.236966825,far,1,0.243902439,since,1,0.219298246,unto,1,0.22172949,fingers,1,0.224719101,knit,1,0.225733634,theseus',1,0.254452926,hermia's,1,0.226244344
canst,1,0.202020202,sides,1,0.210526316,cruel,1,0.236966825,fruitless,1,0.243902439,modesty,1,0.219298246,cherry,1,0.22172949,bodies,1,0.224719101,hate,1,0.225733634,maid,1,0.254452926,modesty,1,0.226244344
business,1,0.202020202,sail,1,0.210526316,nativity,1,0.236966825,mind,1,0.243902439,over,1,0.219298246,put,1,0.22172949,monstrous,1,0.224719101,buds,1,0.225733634,tomb,1,0.254452926,many,1,0.226244344
maiden,1,0.202020202,truth,1,0.210526316,prologue,1,0.236966825,tuneable,1,0.243902439,fond,1,0.219298246,heaven,1,0.22172949,mark,1,0.224719101,conceive,1,0.225733634,little,1,0.254452926,fond,1,0.226244344
forgot,1,0.202020202,very,1,0.210526316,request,1,0.236966825,hate,1,0.243902439,written,1,0.219298246,dreadful,1,0.22172949,loved,1,0.224719101,each,1,0.225733634,knows,1,0.254452926,tread,1,0.226244344
ancient,1,0.202020202,amend,1,0.210526316,skill,1,0.236966825,ask,1,0.243902439,neighbours,1,0.219298246,hence,1,0.22172949,asleep,1,0.224719101,theseus',1,0.225733634,bosom,1,0.254452926,written,1,0.226244344
wind,1,0.202020202,blessed,1,0.210526316,mustardseed,1,0.236966825,maid,1,0.243902439,sides,1,0.219298246,knit,1,0.22172949,amend,1,0.224719101,visage,1,0.225733634,madly,1,0.254452926,could,1,0.226244344
youth,1,0.202020202,discharge,1,0.210526316,deny,1,0.236966825,little,1,0.243902439,monstrous,1,0.219298246,left,1,0.22172949,beauty,1,0.224719101,vexation,1,0.225733634,fire,1,0.254452926,truth,1,0.226244344
wit,1,0.202020202,green,1,0.210526316,worst,1,0.236966825,nedar's,1,0.243902439,loved,1,0.219298246,truest,1,0.22172949,ripe,1,0.224719101,comedy,1,0.225733634,coats,1,0.254452926,steal,1,0.226244344
weaver,1,0.202020202,beasts,1,0.210526316,bring,1,0.236966825,comedy,1,0.243902439,voice,1,0.219298246,stay,1,0.22172949,green,1,0.224719101,madly,1,0.225733634,skill,1,0.254452926,play,1,0.226244344
fairy,1,0.202020202,fit,1,0.210526316,fiery,1,0.236966825,broke,1,0.243902439,could,1,0.219298246,cry,1,0.22172949,quite,1,0.224719101,nails,1,0.225733634,whom,1,0.254452926,moonshine,1,0.226244344
honest,1,0.202020202,turn,1,0.210526316,lark,1,0.236966825,mean,1,0.243902439,steal,1,0.219298246,broke,1,0.22172949,near,1,0.224719101,wonders,1,0.225733634,patience,1,0.254452926,put,1,0.226244344
lips,1,0.202020202,quite,1,0.210526316,only,1,0.236966825,appear,1,0.243902439,asleep,1,0.219298246,young,1,0.22172949,presence,1,0.224719101,kill,1,0.225733634,fears,1,0.254452926,fruitless,1,0.226244344
another,1,0.202020202,liquor,1,0.210526316,follow,1,0.236966825,beseech,1,0.243902439,wait,1,0.219298246,story,1,0.22172949,dead,1,0.224719101,woodbine,1,0.225733634,fly,1,0.254452926,heaven,1,0.226244344
low,1,0.202020202,gold,1,0.210526316,concord,1,0.236966825,cruel,1,0.243902439,effect,1,0.219298246,those,1,0.22172949,cherry,1,0.224719101,jollity,1,0.225733634,wings,1,0.254452926,is't,1,0.226244344
tremble,1,0.202020202,dead,1,0.210526316,fitted,1,0.236966825,run,1,0.243902439,dote,1,0.219298246,rehearse,1,0.22172949,heaven,1,0.224719101,rest,1,0.225733634,lark,1,0.254452926,dreadful,1,0.226244344
since,1,0.202020202,forester,1,0.210526316,small,1,0.236966825,arrow,1,0.243902439,frame,1,0.219298246,wood,1,0.22172949,each,1,0.224719101,beg,1,0.225733634,follow,1,0.254452926,knit,1,0.226244344
hermia's,1,0.202020202,far,1,0.210526316,marry,1,0.236966825,fire,1,0.243902439,blessed,1,0.219298246,nativity,1,0.22172949,left,1,0.224719101,kind,1,0.225733634,might,1,0.254452926,hate,1,0.226244344
modesty,1,0.202020202,injury,1,0.210526316,beauteous,1,0.236966825,mother's,1,0.243902439,ripe,1,0.219298246,jollity,1,0.22172949,assure,1,0.224719101,fare,1,0.225733634,faith,1,0.254452926,buds,1,0.226244344
woe,1,0.202020202,hence,1,0.210526316,e'er,1,0.236966825,beg,1,0.243902439,anon,1,0.219298246,kind,1,0.22172949,tomb,1,0.224719101,lords,1,0.225733634,small,1,0.254452926,left,1,0.226244344
lie,1,0.202020202,offend,1,0.210526316,bright,1,0.236966825,ill,1,0.243902439,turn,1,0.219298246,ploughman,1,0.22172949,knows,1,0.224719101,joy,1,0.225733634,woo,1,0.254452926,maid,1,0.226244344
over,1,0.202020202,buds,1,0.210526316,said,1,0.236966825,orange-tawny,1,0.243902439,near,1,0.219298246,lords,1,0.22172949,awhile,1,0.224719101,prosperity,1,0.225733634,double,1,0.254452926,cry,1,0.226244344
indeed,1,0.202020202,conceive,1,0.210526316,kills,1,0.236966825,short,1,0.243902439,weary,1,0.219298246,wicked,1,0.22172949,appear,1,0.224719101,rare,1,0.225733634,nay,1,0.254452926,mistress,1,0.226244344
rough-cast,1,0.202020202,maid,1,0.210526316,way,1,0.236966825,something,1,0.243902439,peace,1,0.219298246,something,1,0.22172949,yonder,1,0.224719101,bear,1,0.225733634,musk-roses,1,0.254452926,mean,1,0.226244344
fingers,1,0.202020202,master,1,0.210526316,pearl,1,0.236966825,work,1,0.243902439,forester,1,0.219298246,work,1,0.22172949,hanged,1,0.224719101,lark,1,0.225733634,we'll,1,0.254452926,hippolyta,1,0.226244344
herb,1,0.202020202,little,1,0.210526316,report,1,0.236966825,bill,1,0.243902439,cherry,1,0.219298246,joy,1,0.22172949,tender,1,0.224719101,what's,1,0.225733634,courteous,1,0.254452926,wonders,1,0.226244344
swift,1,0.202020202,cry,1,0.210526316,spirit,1,0.236966825,pain,1,0.243902439,put,1,0.219298246,whom,1,0.22172949,friend,1,0.224719101,without,1,0.225733634,either,1,0.254452926,kill,1,0.226244344
creep,1,0.202020202,nedar's,1,0.210526316,seek,1,0.236966825,came,1,0.243902439,injury,1,0.219298246,worst,1,0.22172949,fire,1,0.224719101,might,1,0.225733634,almost,1,0.254452926,tender,1,0.226244344
play,1,0.202020202,comedy,1,0.210526316,dove,1,0.236966825,patience,1,0.243902439,theseus',1,0.219298246,believe,1,0.22172949,kind,1,0.224719101,faith,1,0.225733634,troth,1,0.254452926,friend,1,0.226244344
straight,1,0.202020202,awhile,1,0.210526316,lovely,1,0.236966825,fly,1,0.243902439,maid,1,0.219298246,concord,1,0.22172949,skill,1,0.224719101,man's,1,0.225733634,savours,1,0.254452926,shrewd,1,0.226244344
yoke,1,0.202020202,cock,1,0.210526316,given,1,0.236966825,bring,1,0.243902439,assure,1,0.219298246,sweep,1,0.22172949,pain,1,0.224719101,ladies,1,0.225733634,nothing,1,0.254452926,run,1,0.226244344
town,1,0.202020202,woodbine,1,0.210526316,key,1,0.236966825,wings,1,0.243902439,truest,1,0.219298246,cut,1,0.22172949,fears,1,0.224719101,friends,1,0.225733634,bright,1,0.254452926,mother's,1,0.226244344
blessed,1,0.202020202,cruel,1,0.210526316,new,1,0.236966825,parts,1,0.243902439,tomb,1,0.219298246,small,1,0.22172949,bring,1,0.224719101,musk-roses,1,0.225733634,wide,1,0.254452926,wicked,1,0.226244344
anon,1,0.202020202,run,1,0.210526316,'twere,1,0.236966825,only,1,0.243902439,stay,1,0.219298246,ladies,1,0.22172949,ass,1,0.224719101,we'll,1,0.225733634,way,1,0.254452926,patience,1,0.226244344
quince's,1,0.202020202,fire,1,0.210526316,light,1,0.236966825,what's,1,0.243902439,visions,1,0.219298246,nay,1,0.22172949,fitted,1,0.224719101,hither,1,0.225733634,found,1,0.254452926,rare,1,0.226244344
gold,1,0.202020202,coats,1,0.210526316,gracious,1,0.236966825,cut,1,0.243902439,cry,1,0.219298246,marry,1,0.22172949,woo,1,0.224719101,following,1,0.225733634,pearl,1,0.254452926,fly,1,0.226244344
unto,1,0.202020202,beg,1,0.210526316,barren,1,0.236966825,faith,1,0.243902439,appear,1,0.219298246,keen,1,0.22172949,yellow,1,0.224719101,moth,1,0.225733634,dove,1,0.254452926,only,1,0.226244344
moonshine,1,0.202020202,ploughman,1,0.210526316,wrong,1,0.236966825,friends,1,0.243902439,yonder,1,0.219298246,beauteous,1,0.22172949,we'll,1,0.224719101,thine,1,0.225733634,lovely,1,0.254452926,what's,1,0.226244344
affection,1,0.202020202,fare,1,0.210526316,gently,1,0.236966825,yellow,1,0.243902439,rehearse,1,0.219298246,sky,1,0.22172949,courteous,1,0.224719101,wilt,1,0.225733634,perforce,1,0.254452926,though,1,0.226244344
put,1,0.202020202,short,1,0.210526316,war,1,0.236966825,thorn,1,0.243902439,vision,1,0.219298246,arise,1,0.22172949,almost,1,0.224719101,round,1,0.225733634,draw,1,0.254452926,ladies,1,0.226244344
injury,1,0.202020202,something,1,0.210526316,brief,1,0.236966825,nothing,1,0.243902439,nails,1,0.219298246,e'er,1,0.22172949,following,1,0.224719101,shade,1,0.225733634,proud,1,0.254452926,yellow,1,0.226244344
pale,1,0.202020202,deny,1,0.210526316,owe,1,0.236966825,fast,1,0.243902439,tender,1,0.219298246,prove,1,0.22172949,thorn,1,0.224719101,daughter,1,0.225733634,thought,1,0.254452926,we'll,1,0.226244344
sphere,1,0.202020202,welcome,1,0.210526316,set,1,0.236966825,bright,1,0.243902439,shrewd,1,0.219298246,old,1,0.22172949,nothing,1,0.224719101,given,1,0.225733634,sport,1,0.254452926,marry,1,0.226244344
hate,1,0.202020202,prosperity,1,0.210526316,begin,1,0.236966825,morn,1,0.243902439,arrow,1,0.219298246,gracious,1,0.22172949,wasted,1,0.224719101,childhood,1,0.225733634,methought,1,0.254452926,monster,1,0.226244344
left,1,0.202020202,bring,1,0.210526316,trifles,1,0.236966825,spirit,1,0.243902439,coats,1,0.219298246,chamber,1,0.22172949,bright,1,0.224719101,chamber,1,0.225733634,delight,1,0.254452926,troth,1,0.226244344
maid,1,0.202020202,fiery,1,0.210526316,ready,1,0.236966825,lovely,1,0.243902439,thus,1,0.219298246,excellent,1,0.22172949,wide,1,0.224719101,dance,1,0.225733634,hang,1,0.254452926,thine,1,0.226244344
master,1,0.202020202,only,1,0.210526316,translated,1,0.236966825,given,1,0.243902439,revenge,1,0.219298246,delight,1,0.22172949,morn,1,0.224719101,gently,1,0.225733634,innocence,1,0.254452926,rich,1,0.226244344
visions,1,0.202020202,follow,1,0.210526316,flower,1,0.236966825,noble,1,0.243902439,bear,1,0.219298246,fancy's,1,0.22172949,simple,1,0.224719101,ii,1,0.225733634,owe,1,0.254452926,report,1,0.226244344
mistress,1,0.202020202,wild,1,0.210526316,follow'd,1,0.236966825,aye,1,0.243902439,whisper,1,0.219298246,nightly,1,0.22172949,shade,1,0.224719101,peril,1,0.225733634,yourself,1,0.254452926,simple,1,0.226244344
awhile,1,0.202020202,clear,1,0.210526316,watery,1,0.236966825,sung,1,0.243902439,only,1,0.219298246,airy,1,0.22172949,beshrew,1,0.224719101,hang,1,0.225733634,hounds,1,0.254452926,lovely,1,0.226244344
madly,1,0.202020202,sweep,1,0.210526316,slain,1,0.236966825,FALSE,1,0.243902439,clear,1,0.219298246,golden,1,0.22172949,stretch'd,1,0.224719101,parted,1,0.225733634,soul,1,0.254452926,dances,1,0.226244344
cock,1,0.202020202,cut,1,0.210526316,earth,1,0.236966825,draw,1,0.243902439,woo,1,0.219298246,fantasies,1,0.22172949,dove,1,0.224719101,kiss,1,0.225733634,sometimes,1,0.254452926,act,1,0.226244344
those,1,0.202020202,might,1,0.210526316,yield,1,0.236966825,new,1,0.243902439,trip,1,0.219298246,often,1,0.22172949,lovely,1,0.224719101,yourself,1,0.225733634,remain,1,0.254452926,thought,1,0.226244344
rehearse,1,0.202020202,small,1,0.210526316,stranger,1,0.236966825,walks,1,0.243902439,double,1,0.219298246,slain,1,0.22172949,act,1,0.224719101,set,1,0.225733634,forbid,1,0.254452926,blest,1,0.226244344
vision,1,0.202020202,woo,1,0.210526316,aunt,1,0.236966825,bosoms,1,0.243902439,ladies,1,0.219298246,discord,1,0.22172949,sung,1,0.224719101,jealousy,1,0.225733634,entreat,1,0.254452926,ii,1,0.226244344
hanged,1,0.202020202,hither,1,0.210526316,because,1,0.236966825,quick,1,0.243902439,friends,1,0.219298246,pat,1,0.22172949,new,1,0.224719101,pretty,1,0.225733634,despised,1,0.254452926,four,1,0.226244344
kill,1,0.202020202,either,1,0.210526316,yours,1,0.236966825,spotted,1,0.243902439,yellow,1,0.219298246,fortunate,1,0.22172949,walks,1,0.224719101,begin,1,0.225733634,league,1,0.254452926,nightly,1,0.226244344
tender,1,0.202020202,wasted,1,0.210526316,city,1,0.236966825,window,1,0.243902439,hither,1,0.219298246,god,1,0.22172949,childhood,1,0.224719101,release,1,0.225733634,makes,1,0.254452926,fled,1,0.226244344
prologue,1,0.202020202,wilt,1,0.210526316,gentleman,1,0.236966825,fancy's,1,0.243902439,monster,1,0.219298246,warbling,1,0.22172949,gracious,1,0.224719101,follow'd,1,0.225733634,wakest,1,0.254452926,airy,1,0.226244344
rest,1,0.202020202,found,1,0.210526316,three,1,0.236966825,ii,1,0.243902439,troth,1,0.219298246,sun,1,0.22172949,hue,1,0.224719101,wakest,1,0.225733634,hope,1,0.254452926,waking,1,0.226244344
request,1,0.202020202,beshrew,1,0.210526316,cross,1,0.236966825,yourself,1,0.243902439,thine,1,0.219298246,fellow,1,0.22172949,marvellous,1,0.224719101,consent,1,0.225733634,valour,1,0.254452926,fantasies,1,0.226244344
orange-tawny,1,0.202020202,fight,1,0.210526316,choice,1,0.236966825,dies,1,0.243902439,arise,1,0.219298246,wish,1,0.22172949,wound,1,0.224719101,discord,1,0.225733634,beams,1,0.254452926,flower,1,0.226244344
fare,1,0.202020202,stretch'd,1,0.210526316,rose,1,0.236966825,golden,1,0.243902439,kills,1,0.219298246,words,1,0.22172949,delight,1,0.224719101,boy,1,0.225733634,live,1,0.254452926,wedding-day,1,0.226244344
revenge,1,0.202020202,serve,1,0.210526316,glass,1,0.236966825,flower,1,0.243902439,rude,1,0.219298246,cheeks,1,0.22172949,hours,1,0.224719101,wot,1,0.225733634,yield,1,0.254452926,slain,1,0.226244344
something,1,0.202020202,dove,1,0.210526316,grows,1,0.236966825,wedding-day,1,0.243902439,dances,1,0.219298246,grows,1,0.22172949,parted,1,0.224719101,flowery,1,0.225733634,pat,1,0.254452926,consent,1,0.226244344
bill,1,0.202020202,lovely,1,0.210526316,,,,often,1,0.243902439,perforce,1,0.219298246,lady,1,0.22172949,turns,1,0.224719101,action,1,0.225733634,till,1,0.254452926,worse,1,0.226244344
fly,1,0.202020202,act,1,0.210526316,,,,luck,1,0.243902439,'twere,1,0.219298246,,,,mild,1,0.224719101,bower,1,0.225733634,wandering,1,0.254452926,tie,1,0.226244344
